corpus_type,cause_topic,relation_type,effect_topic,frames,unique_documents,unique_sources,mean_frame_quality,mean_analysis_weight
policy,2,enables_or_supports,7,10,9,9,0.6752600308830954,0.005353516522961376
policy,2,enables_or_supports,8,2,2,2,0.6310427777777778,0.0017421865206417074
policy,2,expected_to_improve,0,1,1,1,0.4431071428571428,0.0007127720929697649
policy,2,expected_to_improve,2,8,1,1,0.6618101274979689,0.0030502182745481992
policy,2,expected_to_improve,3,2,2,2,0.7225089285714286,0.0030014088037513885
policy,2,expected_to_improve,4,2,2,2,0.7104642857142857,0.002051060750661293
policy,2,expected_to_improve,5,3,3,3,0.8168492063492062,0.008345350287557068
policy,2,expected_to_improve,6,1,1,1,0.6568571428571428,0.0014692485277059903
policy,2,expected_to_improve,7,2,2,2,0.6661909420289855,0.011566684719026004
policy,2,expected_to_improve,8,3,2,2,0.5750468504828504,0.0046611656678329305
policy,2,reduces_or_prevents,1,1,1,1,0.8442307692307693,0.002889427361202419
policy,2,reduces_or_prevents,2,19,2,2,0.7294922096269274,0.004028774625736292
policy,2,reduces_or_prevents,3,1,1,1,0.7048447204968944,0.014189879452289578
policy,2,reduces_or_prevents,4,1,1,1,0.7323082706766917,0.002268612678003523
policy,2,reduces_or_prevents,6,2,2,2,0.6457714285714286,0.007554409607914382
policy,2,reduces_or_prevents,7,1,1,1,0.7511764705882352,0.0029614868461675073
policy,2,requires_or_depends_on,0,2,2,2,0.5174498626373626,0.006201310310696923
policy,2,requires_or_depends_on,1,1,1,1,0.7502605042016806,0.008769373482584731
policy,2,requires_or_depends_on,2,22,4,4,0.695143345767073,0.022634785780844293
policy,2,requires_or_depends_on,4,1,1,1,0.4971318681318681,0.000679206618794525
policy,2,requires_or_depends_on,5,3,2,2,0.6030238095238095,0.0010377977122523934
policy,2,requires_or_depends_on,7,1,1,1,0.88255,0.003919832128431535
policy,2,requires_or_depends_on,8,1,1,1,0.8449999999999999,0.0006243341643101919
policy,2,risks_or_threatens,2,7,1,1,0.8275646258503401,0.003185993196308361
policy,2,risks_or_threatens,6,1,1,1,0.7302857142857142,0.004315574864436948
policy,2,risks_or_threatens,8,2,1,1,0.5957302839717935,0.007406466564083418
policy,3,causes_or_increases,0,7,6,6,0.6623412079983508,0.0016825705995259811
policy,3,causes_or_increases,1,2,2,2,0.6129411764705881,0.0008608238413898141
policy,3,causes_or_increases,2,1,1,1,0.6914285714285714,0.0015431919597301551
policy,3,causes_or_increases,3,18,4,4,0.7173712861813332,0.0015412405283214267
policy,3,causes_or_increases,4,5,2,2,0.716660927960928,0.0015077272592723457
policy,3,causes_or_increases,5,6,5,5,0.7048780284043441,0.003768140565778218
policy,3,causes_or_increases,6,12,6,6,0.7546760890959704,0.001977286341385845
policy,3,causes_or_increases,7,6,4,4,0.7104129365493966,0.002900310900271041
policy,3,causes_or_increases,8,5,4,4,0.7558159507159508,0.0018921203605740723
policy,3,enables_or_supports,0,17,5,5,0.7694296295409928,0.0019671111142363913
policy,3,enables_or_supports,1,5,4,4,0.7857537668308702,0.0031128660810727238
policy,3,enables_or_supports,2,2,2,2,0.68875,0.009322985479308415
policy,3,enables_or_supports,3,61,5,5,0.7179137823626531,0.0016378788151470154
policy,3,enables_or_supports,4,10,6,6,0.7272379230444865,0.0035542496245947125
policy,3,enables_or_supports,5,29,10,10,0.7331712274979932,0.002383694393693025
policy,3,enables_or_supports,6,17,10,10,0.7234964434573823,0.005495054714530761
policy,3,enables_or_supports,7,24,10,10,0.7218672397704626,0.004824369169516132
policy,3,enables_or_supports,8,12,9,9,0.6901709432173515,0.001868550898282374
policy,3,expected_to_improve,0,5,4,4,0.7303215388264486,0.0032304721389841166
policy,3,expected_to_improve,1,1,1,1,0.7333999999999998,0.0014072288313894449
policy,3,expected_to_improve,3,8,4,4,0.6848361476989193,0.0034674188712729755
policy,3,expected_to_improve,4,4,2,2,0.7127786825742972,0.0019418547322328245
policy,3,expected_to_improve,5,1,1,1,0.6107142857142857,0.003407840599849258
policy,3,expected_to_improve,6,1,1,1,0.7790999999999999,0.040969339961065776
policy,3,expected_to_improve,7,3,2,2,0.7050290047642989,0.0043796875520354115
policy,3,reduces_or_prevents,3,1,1,1,0.43238095238095237,0.0009426178713665391
